sim_time,veh_x,veh_y,veh_yaw,veh_yaw_rate,veh_speed,veh_ax,veh_ay,rotv_fl,rotv_fr,rotv_rl,rotv_rr,long_slip_loss_fl,long_slip_loss_fr,long_slip_loss_rl,long_slip_loss_rr,lat_slip_loss_fl,lat_slip_loss_fr,lat_slip_loss_rl,lat_slip_loss_rr,aero_drag,roll_resist_fl,roll_resist_fr,roll_resist_rl,roll_resist_rr,req_drive_torque_total_nm,sat_drive_torque_total_nm,req_regen_torque_total_nm,sat_regen_torque_total_nm,batt_drive_power_w,batt_regen_power_w,batt_net_power_w,ref_yaw_rate_base,ref_yaw_rate,torque_fl,torque_fr,torque_rl,torque_rr,steering_cmd
0.05,2.647666972029295,-2.7266278590306158e-08,2.7063371498512823e-06,7.169755802639223e-05,0.1299982659811682,6.3562540658536655,0.00655133632946479,2.8827984398811,3.3107588567619795,5.633784103062634,6.159642226338099,2919.06825778779,3561.1631935655246,4826.306470116765,5456.87704355615,-0.3860859861497644,-0.9387187200208615,0.7554562509826379,1.5779903935767972,0.0008597974906028146,62.224195847393545,70.9131822992523,74.38612966329686,81.1002655777825,2464.1572666168213,2464.1572666168213,0.0,0.0,16.717660292569413,0.0,16.717660292569413,0.0,0.0,602.0786333084106,630.0,602.0786333084106,630.0,0.0
0.1,2.6606560986456778,5.947942940340585e-06,2.891832836801849e-05,0.0005242398243633441,0.34102894715345217,4.041063354675522,-0.09408076852652804,1.73734201888319,2.106371956212071,2.949310254915623,2.453277556779943,682.4624289435226,1067.2157867303495,679.618401811298,351.3394190884662,-0.9723707833304892,-0.016926817747995017,9.993185708923159,1.8043738604425925,0.01728897679907245,36.217094619177225,42.68846341021752,39.58656279995999,31.67234620281912,2370.9581208229065,2370.9581208229065,0.0,0.0,21203.849263228814,0.0,21203.849263228814,0.0,0.0,555.4790604114532,630.0,555.4790604114532,630.0,0.0
0.15000000000000002,2.682738432596851,2.397116884315009e-06,3.9585422200270866e-05,0.00021334187664504757,0.5318358899578384,3.6638896335179814,0.009968611975428643,1.3074124065438435,1.2861558323702487,2.691217356297542,2.714656616766688,-254.98338142685463,-305.5372268131329,562.4721782613257,519.7606569347726,-0.06802404541775788,0.45665275542437817,9.031251384711352,8.913439264247252,0.06675101363213683,23.038210613983996,23.546620107702527,38.35609015047155,38.00439059290426,2424.741336107254,2424.741336107254,0.0,0.0,11204.335400873875,0.0,11204.335400873875,0.0,0.0,582.370668053627,630.0,582.370668053627,630.0,0.0
0.2,2.7140481043442874,-4.641337150471304e-06,1.1713696237869246e-05,-0.0005574345192480324,0.7160959937019205,3.985147409832034,0.05293128231127086,2.917750189713246,2.9245721549377204,2.5588266394518673,2.65942181465309,356.7918295003487,302.54617067682517,157.59733711731656,240.54533902661328,-0.0884372810837633,-0.11238830393094064,3.5566985485926037,5.864531375857512,0.16260978723741865,52.66732772418686,51.97111017066278,36.3724105677,37.8195080615448,2494.8576271533966,2494.8576271533966,0.0,0.0,10129.934557226316,0.0,10129.934557226316,0.0,0.0,617.4288135766983,630.0,617.4288135766983,630.0,0.0
0.25,2.7547659867510883,7.4300522637834584e-06,1.9119324087910013e-05,0.00014811255700081534,0.9064675032365492,3.4450095010331023,-0.007698869969882012,3.1127584791072445,3.034758137446415,3.273150495748582,3.235351004452994,50.71223848448247,12.858119818433657,165.21784571682448,131.5854328615642,0.7082983583300384,1.0321035166322143,1.7985633777024153,2.435709025910835,0.3313930650248941,55.66910987201884,54.373043741642554,44.67482091760689,44.06440033526652,2511.4714336395264,2511.4714336395264,0.0,0.0,14147.401880916314,0.0,14147.401880916314,0.0,0.0,630.0,625.7357168197632,630.0,625.7357168197632,0.0
0.30000000000000004,2.8048403334864282,-3.0578402811153876e-06,6.909831932765191e-06,-0.00024418984310289643,1.0936477470799963,3.6427652331531055,0.009512105129154395,3.645939798105599,3.627322362638538,3.748663431618808,3.730210161278068,23.051772461415553,18.71180202221057,96.21940345885645,87.04942966962882,2.7566624392494496,2.4958482630569665,1.9410069163492991,1.22056940343332,0.5824148738019521,66.73930078428222,66.59798919792784,50.50883051345388,50.27397679362787,2500.435366630554,2500.435366630554,0.0,0.0,16083.972897390739,0.0,16083.972897390739,0.0,0.0,630.0,620.2176833152771,630.0,620.2176833152771,0.0
0.35000000000000003,2.8642184315111514,-1.1802990272967067e-06,-4.045727083752862e-07,-0.00014628809282280953,1.2784426893293892,3.655053620598473,-0.0007462093942217467,4.285498377279046,4.269490358227483,4.341483749080535,4.34142098064448,41.44942446883672,36.56973789036374,94.18391355221837,93.79565693926466,3.7056391004287925,4.710751828926021,1.926531273807542,1.7195773397126226,0.9321557327571157,79.25190802152959,79.1127131271796,58.354094204937034,58.35132907852759,2483.4881830215454,2483.4881830215454,0.0,0.0,18550.525562362243,0.0,18550.525562362243,0.0,0.0,630.0,611.7440915107727,630.0,611.7440915107727,0.0
0.4,2.932846920606989,-4.391154891235626e-06,-1.2441508384179116e-05,-0.0002407387135160766,1.4630472587866865,3.6734560491460733,0.0029799307338079246,4.926251117653932,4.906287303755547,4.932666980334139,4.927731744894807,64.60576778818944,52.00281073685325,87.02080824545794,82.88233506779495,4.679234841264935,5.123358360846728,2.901942448013179,2.1718804811239596,1.3977918177184008,91.80395781862667,91.49924668030495,66.6141942103583,66.52269217743479,2481.5547609329224,2481.5547609329224,0.0,0.0,21649.593839993857,0.0,21649.593839993857,0.0,0.0,630.0,610.7773804664612,630.0,610.7773804664612,0.0
0.45,3.010727735483891,-5.2878534008886716e-06,-1.957007317340547e-05,-0.00014257129578452705,1.6483157750405113,3.7268232473257643,-0.0014802703488680563,5.498654460951306,5.503678381177778,5.521165265779562,5.517502241182667,49.44486025952261,50.09101272201413,76.93740486965916,72.88406965456306,4.938148698329544,5.495521523100597,3.510600443557909,3.1481803788429326,2.00042710029201,102.9656404438858,103.06662094543734,74.97924421186211,74.88461012308561,2487.2991514205933,2487.2991514205933,0.0,0.0,24821.36561839544,0.0,24821.36561839544,0.0,0.0,630.0,613.6495757102966,630.0,613.6495757102966,0.0
0.5,3.0978427435453573,-7.717839412560329e-06,-4.0898202914380265e-05,-0.0004265625948194959,1.8323408016619853,3.6549574910380462,0.0015928595670132912,6.1015375103129745,6.088454588545237,6.115208515316244,6.098672775936155,41.82717073475914,33.322591146191506,70.20686849678445,60.18855083009237,4.6854957500017616,6.030090839905896,4.568228300213309,3.1945166870563955,2.7511594573156493,114.1106681712568,113.89574479503686,83.3040856170546,83.02608966361835,2469.9330496788025,2469.9330496788025,0.0,0.0,27482.857418414256,0.0,27482.857418414256,0.0,0.0,630.0,604.9665248394012,630.0,604.9665248394012,0.0
0.55,3.1940843314254233,-1.477104368466229e-05,-8.699971809145243e-05,-0.0009220303035414432,2.013332316273452,3.5982511537221313,-0.001951220306848665,6.683830540592902,6.682723418820497,6.699383460940194,6.673725000912024,37.85574418607262,34.27770619283837,64.63011805974493,46.33530563973734,4.251719468134743,6.928512083509281,5.48440582531636,2.9505215133635967,3.6535531282138987,124.89561157684253,124.8964258264089,91.42688106532697,90.85981028572448,2430.027379989624,2430.027379989624,0.0,0.0,29693.94918630103,0.0,29693.94918630103,0.0,0.0,630.0,585.013689994812,630.0,585.013689994812,0.0
0.6000000000000001,3.2993482286868296,-2.8816337244595453e-05,-0.0001321483270353799,-0.0009029721788785494,2.1932609517443384,3.5957727764560046,0.0018921971875316937,7.284788728044344,7.266436977016503,7.298402893007605,7.284880425446611,44.80358969302917,32.958606956446125,70.82020807781761,59.67925226214198,4.759844573293157,7.008906199895713,5.478499460515715,3.2033076734855266,4.723977190556804,135.78414345865704,135.57304490785785,99.50782873600376,99.0970266989809,2419.607298374176,2419.607298374176,0.0,0.0,32329.319299797542,0.0,32329.319299797542,0.0,0.0,630.0,579.803649187088,630.0,579.803649187088,0.0
0.65,3.413614053883396,-4.652604087266714e-05,-0.00017105433462305563,-0.0007781201517535143,2.3733477947780264,3.605792136271407,-0.004301206260033715,7.875636468947723,7.868340304779497,7.897261880550106,7.880123081745824,45.75001593371518,40.903126717745366,76.90696227366941,64.04729779697136,5.196066156458627,7.367795039340852,5.698257949094106,3.348861946882254,5.9876144644638085,146.5300579544077,146.55549476145504,107.39973123341359,106.96738544921561,2421.639404296875,2421.639404296875,0.0,0.0,35268.92947362167,0.0,35268.92947362167,0.0,0.0,630.0,580.8197021484375,630.0,580.8197021484375,0.0
0.7000000000000001,3.536894641623915,-7.17897238213754e-05,-0.0002140101377706272,-0.0008591160629514315,2.5538145139336508,3.609482924773779,-0.0026237234774679073,8.476181891974335,8.463464009718072,8.497030006543921,8.479995786062942,50.72716305589226,42.78808788957918,82.9262706786903,69.66320217253858,5.585408938119521,8.012092805938325,5.998019426816512,3.5692727739804946,7.462765633019485,157.52287358225828,157.4367548824037,115.34649856149122,114.89559264959284,2426.7388200759888,2426.7388200759888,0.0,0.0,38276.43185605255,0.0,38276.43185605255,0.0,0.0,630.0,583.3694100379944,630.0,583.3694100379944,0.0
0.75,3.669220665242445,-0.00010515037800788761,-0.00025358534893350814,-0.0007915042232576187,2.73514685553805,3.626722375016893,-0.0031043771538234264,9.076236190891969,9.07158955939005,9.098203423160271,9.085113225425356,54.221923688295576,50.12460029174084,88.84432297946532,76.84025130384916,6.312756353418766,8.408038574671512,6.197621581500891,4.074262160864298,9.168890890184537,168.6009112097996,168.655697906077,123.46403289701972,123.04884360548839,2438.751962184906,2438.751962184906,0.0,0.0,41488.80117393063,0.0,41488.80117393063,0.0,0.0,630.0,589.375981092453,630.0,589.375981092453,0.0
